음식점 이름,메뉴 이름,메뉴 가격,에너지,탄수화물,단백질,지방
할매국수,칼국수,8000, , , , 
할매국수,칼만두,10000, , , , 
할매국수,만두전골 2인,25000, , , , 
할매국수,수육 (중),20000, , , , 
할매국수,잔치국수,7000, , , , 
할매국수,비빔국수,8000, , , , 
모쿠요비,차슈덮밥,10900, , , , 
모쿠요비,매운규동,12900, , , , 
모쿠요비,모모니쿠덮밥,9900, , , , 
모쿠요비,우삼겹과양파,12900, , , , 
모쿠요비,부타니쿠덮밥,9900, , , , 
모쿠요비,스테이크덮밥,12900, , , , 
샤브쌈주머니 대전유성점,평일 점심특선,14800, , , , 
샤브쌈주머니 대전유성점,소고기 샤브,16800, , , , 
코마,사시미 모리아와세(2인),50000, , , , 
코마,타치우오야끼,30000, , , , 
코마,로제시타이거새우,25000, , , , 
코마,도미머리조림,25000, , , , 
코마,에비 후라이,18000, , , , 
전통콩나물밥,콩나물밥,7000, , , , 
전통콩나물밥,두부두루치기,13000, , , , 
전통콩나물밥,오징어두루치기,15000, , , , 
전통콩나물밥,제육볶음,15000, , , , 
어장,강화갯벌장어,75000, , , , 
어장,야채모둠,15000, , , , 
어장,백합국수,9000, , , , 
어장,돌솥밥+장어탕,9000, , , , 
비단강장어,장어소금 구이정식,25000, , , , 
비단강장어,돌솥장어 덮밥,16000, , , , 
비단강장어,날치알돌솥 비빔밥,10000, , , , 
비단강장어,낙지돌솥 비빔밥,10000, , , , 
비단강장어,장어탕 (1인),8000, , , , 
금회세꼬시,뽈락세꼬시,75000, , , , 
금회세꼬시,쥐치세꼬시,70000, , , , 
금회세꼬시,참가자미세꼬시,75000, , , , 
금회세꼬시,문어숙회,35000, , , , 
금회세꼬시,해산물모둠,35000, , , , 
금회세꼬시,뽈락구이,45000, , , , 
모미지,한우숯불구이,31000, , , , 
모미지,메로구이,28000, , , , 
모미지,도미머리구이,26000, , , , 
모미지,연어머리구이,24000, , , , 
모미지,시샤모,16000, , , , 
모미지,명란구이,15000, , , , 
파스쿠찌 대전봉명점,그린티 라떼,5000, , , , 
파스쿠찌 대전봉명점,아메리카노,4500, , , , 
파스쿠찌 대전봉명점,에스프레소,3800, , , , 
파스쿠찌 대전봉명점,카페라떼,5000, , , , 
파스쿠찌 대전봉명점,카푸치노,5000, , , , 
파스쿠찌 대전봉명점,에스프레소 마끼아또,4300, , , , 
갯마을회수산 유성점,전어구이(1kg),28000, , , , 
갯마을회수산 유성점,전어무침(1kg),32000, , , , 
갯마을회수산 유성점,대하소금구이(1kg),45000, , , , 
갯마을회수산 유성점,대방어(1kg),45000, , , , 
갯마을회수산 유성점,통우럭구이(1kg),45000, , , , 
갯마을회수산 유성점,조개찜(소),45000, , , , 
유성주먹구이,생삼겹 주먹구이 (150g),13000, , , , 
유성주먹구이,생목살 (150g),13000, , , , 
유성주먹구이,생항정살 (150g),15000, , , , 
유성주먹구이,소갈비살 (150g),15000, , , , 
유성주먹구이,돼지막창 (170g),13000, , , , 
대장간,대장간의 한돈삼겹 (180g),15000, , , , 
대장간,대장간의 한돈목심 (180g),15000, , , , 
대장간,대장간의 양념돼지갈비 (200g),14000, , , , 
대장간,대장간의 한우등심,32000, , , , 
대장간,대장간의 한우채끝,32000, , , , 
대장간,대장간의 한우새우,35000, , , , 
유성해물칼국수,해물칼국수 (1인분),12000, , , , 
유성해물칼국수,수육 (소),15000, , , , 
유성해물칼국수,두부두루치기 (1인분),12000, , , , 
유성해물칼국수,오징어두부두루치기 (1인분),15000, , , , 
유성해물칼국수,32cm 해물파전,15000, , , , 
유성해물칼국수,돈까스,8000, , , , 
대흥칼국수,칼국수,9000, , , , 
대흥칼국수,콩국수,10000, , , , 
대흥칼국수,두부두루치기,15000, , , , 
대흥칼국수,족발 (중),12000, , , , 
대흥칼국수,족발 (대),20000, , , , 
대흥칼국수,제육볶음(2인),20000, , , , 
전주하우스,가마솥 김치찌개,13000, , , , 
전주하우스,솥뚜껑 생 삼겹살,16000, , , , 
전주하우스,가마솥 갈비김치찌개 (1인분) (2인 이상),15000, , , , 
전주하우스,가마솥 갈비김치전골 (소),39000, , , , 
회뜨는총각 봉명점,총각네 모둠회 (중),40000, , , , 
회뜨는총각 봉명점,대 방어회 (소),30000, , , , 
회뜨는총각 봉명점,광어+우럭 (소),20000, , , , 
회뜨는총각 봉명점,광어+우럭+방어,33000, , , , 
제비다방,초코아메리카노,3900, , , , 
제비다방,제비비엔나,6000, , , , 
제비다방,말차라떼,5600, , , , 
제비다방,밀크티,6000, , , , 
제비다방,레몬에이드,5900, , , , 
만나한우복수집,토시살(한마리),150000, , , , 
만나한우복수집,업진살(1인분),28000, , , , 
만나한우복수집,등심(1인분),26000, , , , 
만나한우복수집,육사시미(1인분),20000, , , , 
만나한우복수집,소주,5000, , , , 
만나한우복수집,맥주,5000, , , , 
택이네조개전골 봉명점,조개전골 (2인),39000, , , , 
택이네조개전골 봉명점,조개전골 (3인),49000, , , , 
택이네조개전골 봉명점,조개전골 (4인),59000, , , , 
택이네조개전골 봉명점,스페셜 조개전골,69000, , , , 
육화담길,T(L)본(1인분)(180g),23000, , , , 
육화담길,한우육사시미(200g),29000, , , , 
육화담길,돼지김치찌개,7000, , , , 
육화담길,차돌된장찌개,7000, , , , 
육화담길,우대갈비(1인분)(200g),23000, , , , 
육화담길,숙성소갈비살(1인분)(150g),17500, , , , 
황태고을,황태진국,18000, , , , 
황태고을,황태구이,10000, , , , 
신유성갈비,신유성생갈비 (200g),16000, , , , 
신유성갈비,수제양념갈비 (200g),12000, , , , 
신유성갈비,생삼겹살 (200g),15000, , , , 
투썸플레이스 유성봉명점,아메리카노,4500, , , , 
투썸플레이스 유성봉명점,카페라떼,5000, , , , 
갓포호산,에비센,12000, , , , 
갓포호산,새우크림고로케,15000, , , , 
갓포호산,스시 모리아와세,38000, , , , 
갓포호산,사시미 모리아와세 (2인),6500, , , , 
갓포호산,메로 미소야끼,27000, , , , 
진원미면옥,전어회,27000, , , , 
진원미면옥,전어구이,25000, , , , 
진원미면옥,전어회무침,29000, , , , 
진원미면옥,오징어회,25000, , , , 
진원미면옥,활어우럭,28000, , , , 
진원미면옥,열무국수,7000, , , , 
하이테이블 유성점,아메리카노,4500, , , , 
하이테이블 유성점,에이드,6000, , , , 
1984술마시는작업실 봉명점,부채살스테이크,25000, , , , 
1984술마시는작업실 봉명점,스페셜BBQ플레터,38000, , , , 
1984술마시는작업실 봉명점,쉬림프알리올리오,13000, , , , 
1984술마시는작업실 봉명점,베이컨크림파스타,13000, , , , 
1984술마시는작업실 봉명점,봉골레파스타,14000, , , , 
1984술마시는작업실 봉명점,비프크림파스타,14000, , , , 
설도 유성점,무한소고기,21500, , , , 
설도 유성점,7~초등학생,14500, , , , 
설도 유성점,5~6세,8500, , , , 
설도 유성점,소고기한판(500g),35000, , , , 
경성삼겹살,숙성꽃삼겹살 (170g),15000, , , , 
경성삼겹살,숙성 삼겹살 (170g),15000, , , , 
경성삼겹살,숙성 꽃목살 (170g),15000, , , , 
경성삼겹살,가브리살 (120g),15000, , , , 
경성삼겹살,항정살 (120g),16000, , , , 
우산정 본점,3단 편백찜,93000, , , , 
우산정 본점,2단 해물 편백찜,78000, , , , 
우산정 본점,2단 반반 편백찜,54000, , , , 
우산정 본점,2단 차돌 편백찜,38000, , , , 
대동집 대전봉명점,대동보쌈(중),26000, , , , 
대동집 대전봉명점,대동 깐쇼새우,18000, , , , 
대동집 대전봉명점,매콤 순대곱창 볶음,18000, , , , 
대동집 대전봉명점,대동알탕,18000, , , , 
대동집 대전봉명점,수제 고추튀김,15000, , , , 
애월장흥한우,흑돼지오겹살(150g),19000, , , , 
애월장흥한우,제주오겹살(150g),15000, , , , 
애월장흥한우,양념갈비(200g),13000, , , , 
애월장흥한우,우거지탕+가마솥밥,7000, , , , 
애월장흥한우,육회비빔밥,10000, , , , 
KFC 유성온천점,KFC추천팩,17900, , , , 
KFC 유성온천점,KFC시그니처팩,22900, , , , 
KFC 유성온천점,온가족모두팩,28800, , , , 
KFC 유성온천점,1994핫윙8조각,13000, , , , 
KFC 유성온천점,버터비스켓,2500, , , , 
KFC 유성온천점,핫크리스피치킨 5조각,14200, , , , 
나주홍어,국내산삼합 (1인),45000, , , , 
나주홍어,홍어애탕 (1인) (점심식사),15000, , , , 
꾸아 대전유성점,반세오,28000, , , , 
꾸아 대전유성점,직화 쌀국수,10500, , , , 
꾸아 대전유성점,왕갈비 쌀국수,15000, , , , 
꾸아 대전유성점,분짜,18000, , , , 
꾸아 대전유성점,시그니처 볶음밥,12000, , , , 
꾸아 대전유성점,고기듬뿍 쌀국수,13000, , , , 
파도수산 봉명점,숭어회,35000, , , , 
파도수산 봉명점,방어회(중),55000, , , , 
파도수산 봉명점,물회(2인),20000, , , , 
파도수산 봉명점,해물순두부탕,18000, , , , 
파도수산 봉명점,쭈꾸미볶음,18000, , , , 
박경람아란치니김밥,아란치니,7500, , , , 
박경람아란치니김밥,오색비빔밥,7500, , , , 
박경람아란치니김밥,무우즙 쌀떡볶이,5500, , , , 
박경람아란치니김밥,박경람김밥,4500, , , , 
박경람아란치니김밥,지중해키토제닉,5500, , , , 
박경람아란치니김밥,명란김밥,6500, , , , 
묘한식당,아롱사태수육,34000, , , , 
묘한식당,한우육회,25000, , , , 
묘한식당,새우나쵸,25000, , , , 
묘한식당,해장파스타,20000, , , , 
묘한식당,갑오징어 숙회,28000, , , , 
화원짚불구이 봉명점,우대갈비,22000, , , , 
화원짚불구이 봉명점,짚불삼겹살,16000, , , , 
화원짚불구이 봉명점,짚불통목살,16000, , , , 
남다른식탁,양고기구이,24000, , , , 
남다른식탁,가브리살구이,24000, , , , 
남다른식탁,칠리새우,18000, , , , 
남다른식탁,우삼겹 순두부 찌개,18000, , , , 
남다른식탁,오징어튀김,11000, , , , 
남다른식탁,날치알주먹밥,5000, , , , 
대신양대창 봉명점,소대창 (150g),15900, , , , 
대신양대창 봉명점,소막창 (150g),16500, , , , 
대신양대창 봉명점,곱창전골 (1인),18000, , , , 
대신양대창 봉명점,한우육사시미 (100g),11900, , , , 
대신양대창 봉명점,소특양(130g),18900, , , , 
대신양대창 봉명점,한우육회(100g),13900, , , , 
박봉명생갈비,생갈비소금구이,14000, , , , 
갓포회담 봉명점,회담런치코스,25000, , , , 
갓포회담 봉명점,디너B코스,68000, , , , 
갓포회담 봉명점,회담디너코스,48000, , , , 
미림양장,북경오리(반마리),38000, , , , 
미림양장,북경오리(한마리),75000, , , , 
미림양장,갈비튀김,18000, , , , 
미림양장,홍콩식에그누들볶음,10000, , , , 
김희선제육짜글이,제육짜글이(돌솥밥포함, 2인이상),12000, , , , 
김희선제육짜글이,계란말이,8000, , , , 
김희선제육짜글이,돌솥밥 추가,3000, , , , 
김희선제육짜글이,공기밥 추가,1500, , , , 
간사이,생선회,70000, , , , 
간사이,점심특선,20000, , , , 
구주 대전봉명점,홍짬뽕,21900, , , , 
구주 대전봉명점,백짬뽕,21900, , , , 
구주 대전봉명점,쿠시카츠모듬,19800, , , , 
구주 대전봉명점,가쓰오소고기숙주볶음,18900, , , , 
구주 대전봉명점,호르몬냄비전콜,29800, , , , 
구주 대전봉명점,오뎅니베,24900, , , , 
군자대한곱창 대전봉명점,한우모둠곱창,24900, , , , 
군자대한곱창 대전봉명점,대한모둠곱창,20900, , , , 
군자대한곱창 대전봉명점,매운양대창구이,19900, , , , 
군자대한곱창 대전봉명점,차돌모둠곱창,19900, , , , 
군자대한곱창 대전봉명점,모둠곱창,18900, , , , 
군자대한곱창 대전봉명점,한우소곱창,22900, , , , 
하레하레 유성점,아메리카노,3800, , , , 
하레하레 유성점,디카페인 아메리카노,3800, , , , 
하레하레 유성점,카페라떼,4500, , , , 
하레하레 유성점,디카페인 라떼,4500, , , , 
하레하레 유성점,하레 비엔나,5500, , , , 
하레하레 유성점,바닐라라떼,5300, , , , 
퐁당 유성점,소고기 샤브전골,9900, , , , 
퐁당 유성점,편백샤브무제한,21900, , , , 
보배반점 대전유성점,해물쟁반짜장,19000, , , , 
토리참치,A코스,100000, , , , 
토리참치,B코스,70000, , , , 
토리참치,C코스,50000, , , , 
토리참치,초밥,30000, , , , 
토리참치,우동,8000, , , , 
토리참치,라면,8000, , , , 
하이엔드미친등심,하이엔드 베이직,89000, , , , 
하이엔드미친등심,하이엔드 스페셜,99000, , , , 
하이엔드미친등심,하이엔드 VVIP,150000, , , , 
옥류관,생갈비 (200g),32000, , , , 
옥류관,수원갈비 (200g),25000, , , , 
옥류관,돼지갈비 (250g),15000, , , , 
옥류관,암돼지생삼겹살 (170g),15000, , , , 
옥류관,소불고기우렁쌈밥 (2인이상),14000, , , , 
옥류관,제육우렁쌈밥 (2인이상),12000, , , , 
단성무이 대전봉명점,가리비 도넛샤브,36900, , , , 
단성무이 대전봉명점,유린기,19500, , , , 
단성무이 대전봉명점,도넛마라샤브,27000, , , , 
단성무이 대전봉명점,구름샤브,30500, , , , 
단성무이 대전봉명점,산더미 수육전골,27000, , , , 
단성무이 대전봉명점,도넛 샤브,26000, , , , 
세겹식당 봉명점,삼겹살(150g),14000, , , , 
세겹식당 봉명점,한모청국장,7000, , , , 
세겹식당 봉명점,세겹김치찌개,8000, , , , 
세겹식당 봉명점,마라탕,8000, , , , 
세겹식당 봉명점,냉면,6000, , , , 
세겹식당 봉명점,비빔냉면,6000, , , , 
바다수퍼해물천하조개구이 대전유성점,굴구이,40000, , , , 
바다수퍼해물천하조개구이 대전유성점,석화회,20000, , , , 
바다수퍼해물천하조개구이 대전유성점,칼국수,7000, , , , 
바다수퍼해물천하조개구이 대전유성점,해물라면,6000, , , , 
바다수퍼해물천하조개구이 대전유성점,옛날돈까스,6000, , , , 
바다수퍼해물천하조개구이 대전유성점,새우소금구이,25000, , , , 
스타벅스 대전유성NC점,블랙 글레이즈드 라떼,6500, , , , 
스타벅스 대전유성NC점,아이스 블랙 글레이즈드 라떼,6500, , , , 
스타벅스 대전유성NC점,아이스 마롱 헤이즐넛 라떼,6700, , , , 
스타벅스 대전유성NC점,마롱 헤이즐넛 라떼,6700, , , , 
스타벅스 대전유성NC점,스퀴즈드 오렌지 주스 100ML,3800, , , , 
스타벅스 대전유성NC점,수박 주스 190ML,4500, , , , 
폴레폴레,크렘브륄레라떼,6500, , , , 
폴레폴레,아몬드 크림 라떼,6500, , , , 
폴레폴레,모히또 에이드,6500, , , , 
폴레폴레,바질 토마토 에이드,6500, , , , 
폴레폴레,딸기&블루베리 요거트 스무디,6500, , , , 
폴레폴레,말차&에스프레소 폴레치노,6500, , , , 
이백도씨,숙성삼겹,15000, , , , 
이백도씨,숙성목살,15000, , , , 
이백도씨,비빔냉면,6000, , , , 
이백도씨,물냉면,6000, , , , 
이백도씨,계란찜,3000, , , , 
이백도씨,미나리볶음밥,3000, , , , 
롯데리아 대전유성점,한우불고기버거,8600, , , , 
롯데리아 대전유성점,데리버거,3500, , , , 
롯데리아 대전유성점,치킨 하프팩(4조각),10900, , , , 
롯데리아 대전유성점,치킨휠레,3100, , , , 
롯데리아 대전유성점,티렉스버거,4800, , , , 
롯데리아 대전유성점,핫크리스피치킨버거,6000, , , , 
홍콩구락부 봉명점,오이탕탕이,4000, , , , 
홍콩구락부 봉명점,마라 닭냉채,11000, , , , 
홍콩구락부 봉명점,마라 사태무침,15000, , , , 
홍콩구락부 봉명점,홍콩 미니 족발,9500, , , , 
홍콩구락부 봉명점,모닝글로리,9000, , , , 
홍콩구락부 봉명점,모시조개 술찜,10000, , , , 
빵장수단팥빵 대전유성점,통단팥빵,2300, , , , 
빵장수단팥빵 대전유성점,생크림단팥빵,2800, , , , 
빵장수단팥빵 대전유성점,고구마앙꼬빵,2500, , , , 
빵장수단팥빵 대전유성점,밤앙꼬빵,2500, , , , 
빵장수단팥빵 대전유성점,야끼모찌빵,2300, , , , 
카페민트,아메리카노,4000, , , , 
카페민트,카페라떼,4500, , , , 
카페민트,녹차라떼,4500, , , , 
카페민트,복숭아주스,6000, , , , 
카페민트,딸기스무디,5500, , , , 
뼈먹자,뼈다귀해장국,9000, , , , 
뼈먹자,묵은지뼈해장국,10000, , , , 
뼈먹자,고사리뼈해장국,11000, , , , 
뼈먹자,편육,6000, , , , 
용용선생 대전봉명점,우육탕,14900, , , , 
용용선생 대전봉명점,우육탕면,14900, , , , 
용용선생 대전봉명점,게살계란탕,13900, , , , 
용용선생 대전봉명점,간장계란볶음밥,5900, , , , 
용용선생 대전봉명점,청경채볶음,7900, , , , 
용용선생 대전봉명점,어항가지새우,19900, , , , 
시오,시오특상 (1인) (디너),77000, , , , 
시오,시오 특 (1인) (디너),55000, , , , 
시오,시오 상 (1인) (디너),45000, , , , 
시오,A스시코스 (1인) (디너),55000, , , , 
시오,B스시코스 (1인) (디너),35000, , , , 
속풀이대소해장국,모듬수육(국물식)(중),37000, , , , 
속풀이대소해장국,선지해장국,8000, , , , 
속풀이대소해장국,능이버섯삼계탕,14000, , , , 
속풀이대소해장국,황태해장국,8000, , , , 
속풀이대소해장국,갈비탕,11000, , , , 
속풀이대소해장국,감자탕(중),27000, , , , 
고깃리88번지 대전봉명점,고깃리모둠,50000, , , , 
고깃리88번지 대전봉명점,오돌뼈,15000, , , , 
고깃리88번지 대전봉명점,목살반근,26000, , , , 
고깃리88번지 대전봉명점,삼겹살,13000, , , , 
고깃리88번지 대전봉명점,깍둑항정,15000, , , , 
고깃리88번지 대전봉명점,돼지갈비,16000, , , , 
팔각도 대전봉명점,숯불닭갈비,10900, , , , 
옐로우택시,나초,12000, , , , 
옐로우택시,육포,18000, , , , 
옐로우택시,카프레제 샐러드,21000, , , , 
옐로우택시,후레쉬 과일,27000, , , , 
옐로우택시,큐브 스테이크,25000, , , , 
옐로우택시,카스,5000, , , , 
라스트춘선 대전봉명점,한우 모츠나베,30000, , , , 
라스트춘선 대전봉명점,카라이 모츠나베,30000, , , , 
라스트춘선 대전봉명점,정춘선 샤브나베,27000, , , , 
라스트춘선 대전봉명점,정춘선 곱도리탕,35000, , , , 
라스트춘선 대전봉명점,항정삼합,28000, , , , 
라스트춘선 대전봉명점,닭다리살 대파,21000, , , , 
럭스라운지클럽,디너코스,120000, , , , 
럭스라운지클럽,칵테일,12000, , , , 
럭스라운지클럽,와인,120000, , , , 
럭스라운지클럽,샴페인,89000, , , , 
동낙스시,우동,8000, , , , 
별찌,칠리새우,20000, , , , 
별찌,옛날통닭,15000, , , , 
별찌,큐브스테이크,23000, , , , 
별찌,계절과일,30000, , , , 
별찌,시사모구이,15000, , , , 
야키토리잔잔 대전봉명점,참치타다끼,25000, , , , 
야키토리잔잔 대전봉명점,채끝살타다끼,28000, , , , 
야키토리잔잔 대전봉명점,오꼬노미야끼,22000, , , , 
야키토리잔잔 대전봉명점,한우차돌박이 숙주볶음,25000, , , , 
야키토리잔잔 대전봉명점,새우먹물크림파스타,20000, , , , 
야키토리잔잔 대전봉명점,키조개관자 버터야끼,22000, , , , 
송탄최네집 대전직영점,부대찌개(1인분),11000, , , , 
송탄최네집 대전직영점,로스베이컨구이(200g)(2인이상),11000, , , , 
엄마식당,촌돼지찌개 (1인분),9000, , , , 
엄마식당,고등어조림 (1인분),9000, , , , 
엄마식당,촌돼지고추장볶음 (중),25000, , , , 
엄마식당,촌돼지고추장볶음 (소),20000, , , , 
교촌치킨 유성점,교촌오리지날,19000, , , , 
교촌치킨 유성점,교촌콤보,22000, , , , 
교촌치킨 유성점,교촌윙,22000, , , , 
교촌치킨 유성점,교촌허니오리지날,19000, , , , 
교촌치킨 유성점,교촌허니콤보,23000, , , , 
교촌치킨 유성점,교촌레드오리지날,20000, , , , 
할매숯골,소머리수육,35000, , , , 
할매숯골,주먹구이삼겹살,15000, , , , 
할매숯골,물냉면,8000, , , , 
할매숯골,비빔냉면,8000, , , , 
할매숯골,왕만두,6000, , , , 
더스크래치,Lunch 성인(주말,공휴일),99000, , , , 
더스크래치,Dinner 성인,99000, , , , 
더스크래치,Lunch 소인(평일),35000, , , , 
더스크래치,Lunch 소인(주말,공휴일),50000, , , , 
더스크래치,Dinner 소인,50000, , , , 
더스크래치,Lunch 성인(평일),69000, , , , 
관저명태촌 봉명점,매콤명태조림(소),29000, , , , 
관저명태촌 봉명점,얼큰이동태탕(소),20000, , , , 
관저명태촌 봉명점,얼큰가오리찜,49000, , , , 
관저명태촌 봉명점,고등어생선구이,12000, , , , 
관저명태촌 봉명점,옛날돈까스,8000, , , , 
유성각 본점,유니짜장,7000, , , , 
유성각 본점,간짜장,8000, , , , 
유성각 본점,짬뽕,8000, , , , 
유성각 본점,우동,8000, , , , 
유성각 본점,울면,8000, , , , 
유성각 본점,삼선짜장,10000, , , , 
봉명텐동,봉명텐동,10000, , , , 
태백산갈비김치찌개,짜글이(1인),10000, , , , 
태백산갈비김치찌개,삼겹살 고추장 불고기 (1인),10000, , , , 
태백산갈비김치찌개,육계장,8000, , , , 
태백산갈비김치찌개,얼큰이샤브칼국수(1인),8000, , , , 
태백산갈비김치찌개,오징어 두부두루치기 (대),23000, , , , 
태백산갈비김치찌개,오징어 두부두루치기 (중),18000, , , , 
포티엔차이나,유린기(중),23000, , , , 
포티엔차이나,유린기(대),34000, , , , 
포티엔차이나,간쇼중새우(중),25000, , , , 
포티엔차이나,간쇼중새우(대),37000, , , , 
포티엔차이나,크림탕수육(소),14000, , , , 
회장님댁 봉명점,회장님스지탕,26000, , , , 
회장님댁 봉명점,LA갈비,25000, , , , 
회장님댁 봉명점,모츠나베,23000, , , , 
회장님댁 봉명점,회장님한판,25000, , , , 
회장님댁 봉명점,밀푀유나베(한정판매),23000, , , , 
회장님댁 봉명점,김치전골,19000, , , , 
공릉동원조멸치국수 유성점,멸치국수,6000, , , , 
공릉동원조멸치국수 유성점,비빔국수,7000, , , , 
공릉동원조멸치국수 유성점,칼국수,8000, , , , 
공릉동원조멸치국수 유성점,떡만두국,8000, , , , 
공릉동원조멸치국수 유성점,찐만두,7000, , , , 
짬뽕관 대전유성점,짬뽕,10000, , , , 
짬뽕관 대전유성점,순두부짬뽕,11000, , , , 
짬뽕관 대전유성점,차슈짬뽕,12000, , , , 
짬뽕관 대전유성점,차돌짬뽕,13000, , , , 
짬뽕관 대전유성점,마라짬뽕,12000, , , , 
짬뽕관 대전유성점,마라볶음면,13000, , , , 
옛날아우내순대 유성점,순수세트,11900, , , , 
옛날아우내순대 유성점,순곱새세트,17900, , , , 
옛날아우내순대 유성점,순대국밥,7000, , , , 
옛날아우내순대 유성점,돼지국밥,8000, , , , 
옛날아우내순대 유성점,선지해장국,8000, , , , 
옛날아우내순대 유성점,양평해장국,10000, , , , 
미소본가스마일칼국수 봉명점,손칼국수,7000, , , , 
미소본가스마일칼국수 봉명점,비빔칼국수,8000, , , , 
미소본가스마일칼국수 봉명점,김밥,6000, , , , 
미소본가스마일칼국수 봉명점,수육 (소),17000, , , , 
미소본가스마일칼국수 봉명점,고기김치전,12000, , , , 
미소본가스마일칼국수 봉명점,손콩국수 (여름별미),9000, , , , 
쎄시마몽드,아메리카노,4000, , , , 
쎄시마몽드,라떼(M),5000, , , , 
쎄시마몽드,엑설런트 라떼,5500, , , , 
쎄시마몽드,크림아몬드라떼,6000, , , , 
쎄시마몽드,패션망고소다,6000, , , , 
형제들감자탕&온천면옥,감자탕(대),44000, , , , 
형제들감자탕&온천면옥,뼈찜(대),48000, , , , 
형제들감자탕&온천면옥,뼈구이(대),48000, , , , 
형제들감자탕&온천면옥,뼈해장국,9000, , , , 
형제들감자탕&온천면옥,메밀막국수,9000, , , , 
형제들감자탕&온천면옥,메밀비빔막국수,10000, , , , 
통영굴이랑전복이랑 본점,전복코스,90000, , , , 
통영굴이랑전복이랑 본점,굴국밥,10000, , , , 
통영굴이랑전복이랑 본점,굴순두부,10000, , , , 
통영굴이랑전복이랑 본점,굴해장국,10000, , , , 
통영굴이랑전복이랑 본점,굴버섯돌솥밥,11000, , , , 
통영굴이랑전복이랑 본점,굴물회,13000, , , , 
허성준보쌈 유성점,스페셜보쌈 5~6인,51000, , , , 
허성준보쌈 유성점,족발 (특) 5~6인,47000, , , , 
허성준보쌈 유성점,족발 (대) 4~5인,41000, , , , 
허성준보쌈 유성점,족발 (중) 3~4인,37000, , , , 
허성준보쌈 유성점,족발 (소) 2~3인,31000, , , , 
허성준보쌈 유성점,보쌈 (특) 5~6인,47000, , , , 
한우정육식당,한우암소 1+갈비살(400g),69000, , , , 
한우정육식당,한우암소 1+등심(400g),69000, , , , 
한우정육식당,한우암소 1++등심(400g),99000, , , , 
한우정육식당,한우암소 1+부채살(400g),75000, , , , 
한우정육식당,한우암소 1+안창살(400g),135000, , , , 
한우정육식당,한우암소 1+살치살(400g),130000, , , , 
오드비,Wild Flower,18000, , , , 
오드비,Negroni,17000, , , , 
오드비,Old Fashioned,22000, , , , 
오드비,Rusty Nail,18000, , , , 
오드비,Faust,16000, , , , 
봉명데이,두부김치,22000, , , , 
봉명데이,치즈불닭,25000, , , , 
봉명데이,무뼈치즈닭발,25000, , , , 
봉명데이,과일플레이트,28000, , , , 
봉명데이,오뎅탕,22000, , , , 
봉명데이,만두탕,24000, , , , 
숯골원냉면갈비,토종닭백숙,35000, , , , 
숯골원냉면갈비,꿩냉면,13000, , , , 
숯골원냉면갈비,꿩온면,13000, , , , 
숯골원냉면갈비,물냉면,9000, , , , 
숯골원냉면갈비,비빔냉면,9000, , , , 
파시,참치마끼,18000, , , , 
파시,미니 장어덮밥,12000, , , , 
파시,미니 안키모덮밥,8000, , , , 
파시,고토우동,7500, , , , 
파시,사누끼우동,5500, , , , 
파시,흰살스시 한판 (8pcs),23000, , , , 
원탁,김치마제볶음우동,13000, , , , 
원탁,간장팝콘만두,11000, , , , 
원탁,우삼겹와사비,19000, , , , 
원탁,순대볶음,19000, , , , 
원탁,닭다리살강정,23000, , , , 
원탁,꽃게어묵탕,22000, , , , 
노마드 본점,구이 2인세트(450g),75000, , , , 
노마드 본점,노마드세트 프랜치랙 8대+명란구이,150000, , , , 
노마드 본점,양갈비 숄더랙(200g),32000, , , , 
노마드 본점,프렌치 랙(200g),36000, , , , 
노마드 본점,등심(150g),30000, , , , 
수안초밥,초밥1접시,1590, , , , 
수안초밥,연어뱃살초밥,1590, , , , 
수안초밥,초새우초밥,1590, , , , 
수안초밥,가리비스테이크초밥,1590, , , , 
수안초밥,간장새우초밥,1590, , , , 
수안초밥,홍민어초밥,1590, , , , 
할머니딸곱창 봉명점,무한리필 (1인),27900, , , , 
할머니딸곱창 봉명점,무한리필 (1인) (8세~10세),16000, , , , 
할머니딸곱창 봉명점,무한리필 (1인) (5세~7세),10000, , , , 
할머니딸곱창 봉명점,모듬구이 Set (430g),40000, , , , 
할머니딸곱창 봉명점,양대곱Set (550g),59500, , , , 
할머니딸곱창 봉명점,맛보기 곱창전골,12000, , , , 
동경참치 유성점,실장스페셜,110000, , , , 
동경참치 유성점,로얄참치,90000, , , , 
동경참치 유성점,골드참치,70000, , , , 
동경참치 유성점,스페셜참치,50000, , , , 
동경참치 유성점,참치초밥,10000, , , , 
소언,진갈비 (100g),22000, , , , 
소언,등심 (100g),21000, , , , 
소언,살치 (100g),19000, , , , 
소언,안창 (100g),18000, , , , 
소언,토시 (100g),16000, , , , 
소언,부채 (100g),16000, , , , 
육남매,꽃게탕 (소),35000, , , , 
육남매,꽃게찜,60000, , , , 
육남매,꽃게무침,27000, , , , 
육남매,간장게장,27000, , , , 
육남매,홍어무침,28000, , , , 
육남매,한방녹두삼계탕,12000, , , , 
한식요리주점이립,이립뚝배기솥밥,12000, , , , 
한식요리주점이립,일본식고기튀김,12000, , , , 
한식요리주점이립,고추장크림뇨끼,20000, , , , 
한식요리주점이립,제철굴튀김,16000, , , , 
한식요리주점이립,백골뱅이조개전골,28000, , , , 
